event,confidence,reasoning,sentiment_score
If no predefined event matches,concise and descriptive,If no predefined event matches,0.8188
event_name,0.0-1.0,why you chose this category,0.0
College Sports Move,BEGAN AT ASBURY UNVERSITY,If no predefined event matches,0.5719
If no predefined event matches,"hHjbfRFIWm
",If no predefined event matches,0.9567
The legendary football rivalry,HieO7SO2kI,If no predefined event matches,0.5983
If no predefined event matches,"confidence_score""}",If no predefined event matches,0.6249
If no predefined event matches,0.8,"""why you chose this category",-0.3818
SMU making the playoffs before A&amp;M,0.5,"The tweet mentions SMU potentially making the playoffs before A&amp;M, which is a significant event in the college football world.",0.0
the Class of 2025,0.0-1.0,"""why you chose this category",0.0516
"a graduation ceremony, a wedding reception",concise and descriptive,If no predefined event matches,0.9771
The legendary football rivalry,0.0-1.0,why you chose this category,0.5106
event_name,0.0-1.0,why,-0.4101
event_name,0.0-1.0,why you chose this category,0.3628
event_name,0.0-1.0,why you chose this category,0.5255
Exciting announcement,4R9Xc4Qw0Z,If no predefined event matches,0.8439
event_name,0.9,"The tweet mentions a sports event (college football game) and the reaction of the audience (yall believed Texas A&amp;M would make it to Atlanta?!?!?"")",0.0
SMU making the playoffs before A&amp;M,0.0-1.0,If no predefined event matches,-0.2732
Exciting announcement,Announcement,If no predefined event matches,0.9665
The legendary football rivalry,9-1,If no predefined event matches,0.0258
The legendary football rivalry,"GigEm""}",If no predefined event matches,0.8976
Exciting announcement,JY5u6Pdumf,If no predefined event matches,0.5962
If no predefined event matches,0.0-1.0,This tweet announces a university's ranking and is related to education and academic achievement,0.8225
If no predefined event matches,between 0.0 and 1.0,If no predefined event matches,0.9257
event_name,0.9,If no predefined event matches,0.3365
If no predefined event matches,0.0-1.0,If no predefined event matches,0.0
Exciting announcement,Aggies,If no predefined event matches,0.7945
Exciting announcement,Insane!,about a political event,-0.6428
Qatar campus closure,0.9,"This tweet mentions the closure of the Texas A&M University campus in Qatar, which is a significant event that has implications for the university and its students.",0.0
If no predefined event matches,0.8,If no predefined event matches,0.0
event_name,0.0-1.0,why you chose this category,0.3612
Exciting announcement,concise and descriptive,If no predefined event matches,0.4753
If no predefined event matches,5oHg6HyEa0,If no predefined event matches,0.5423
If no predefined event matches,3.73/5.0,If no predefined event matches,-0.6164
College Sports Move,8iB3C,If no predefined event matches,0.0
The legendary football rivalry,concise and descriptive,expresses the university's commitment to honoring and supporting veterans,0.9313
school_prank,0.9,"The tweet mentions that Casey McCoy was filming a POV and then came out to cook Texas A&amp;M, which is a school. This tweet is a school prank.",0.0941
Medical Breakthrough,0.9,The tweet mentions a new nasal spray developed by Texas A&amp;M scientists that could potentially slow the mental decline of Alzheimer's patients. This is a significant development in the field of Alzheimer's research and could have a major impact on the lives of millions of people affected by the disease.,0.0
SMU making the playoffs before A&amp;M,0.0-1.0,why you chose this category,0.0
Qatar campus closure,0.0-1.0,why you chose this category,0.6908
If no predefined event matches,concise and descriptive,If no predefined event matches,0.7506
event_name,0.99,why you chose this category,0.5719
If no predefined event matches,0.5,If no predefined event matches,0.4389
"a graduation ceremony, a wedding reception",0.99,If no predefined event matches,0.0
event_name,0.0-1.0,If no predefined event matches,-0.2263
Medical Breakthrough,N0vmmH0Jkp,If no predefined event matches,-0.1027
SMU making the playoffs before A&amp;M,1.0,"The tweet mentions a specific event, East Texas A&amp;M, which is a football team.",0.3802
Women’s Health Symposium,8id5,If no predefined event matches,0.5411
